,Job Code,Job Title,Race with the Machine,Race against the Machine,Race ahead of the Machine,Running a Different Race
69,17-1022,Surveyors,0.08874078660305193,0.17473586897048862,0.0814168708909636,0.1490626300492272
70,17-2011,Aerospace Engineers,0.08630779598705929,0.14689053148157258,0.20555578944664757,0.047395757998875965
71,17-2021,Agricultural Engineers,0.06725958693469206,0.12783727989036833,0.16514462816435665,0.12603565089380978
72,17-2031,Bioengineers and Biomedical Engineers,0.07700551695976324,0.1468924009555027,0.13943558920045873,0.12380242652968179
73,17-2041,Chemical Engineers,0.04974424793207821,0.17590094527793157,0.18158756212255078,0.09263535619160039
74,17-2051,Civil Engineers,0.08683040295025554,0.18072390925001003,0.13059625493029153,0.09738396674283888
75,17-2061,Computer Hardware Engineers,0.1092131384460777,0.07518702706374653,0.26171650349568454,0.048071039021070315
76,17-2071,Electrical Engineers,0.03974140345769486,0.11938847093506083,0.23792965275612102,0.09528963726593076
77,17-2072,"Electronics Engineers, Except Computer",0.05443286654791053,0.09399523722892578,0.20557140897570333,0.14413419362027502
78,17-2081,Environmental Engineers,0.04073621141562093,0.2127244125711112,0.15343201907580656,0.09734935576366611
79,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",0.09671851293697978,0.13396344563141876,0.17307309785194702,0.07782704996969728
80,17-2112,Industrial Engineers,0.0882021088876469,0.15784610245138075,0.1492065482766008,0.10408638728059995
81,17-2121,Marine Engineers and Naval Architects,0.05357908867642984,0.1582247738315001,0.170608110898512,0.10351895058253587
82,17-2131,Materials Engineers,0.039047958326111486,0.15273357689399442,0.1955111851720164,0.10858766252942964
83,17-2141,Mechanical Engineers,0.04650047441003642,0.19561116420459296,0.19089076391349652,0.06240429770401841
84,17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",0.09650357577659174,0.14048533148235026,0.14191874235606056,0.10865416247015122
85,17-2161,Nuclear Engineers,0.10313811633510206,0.14617677263172923,0.15535551873166814,0.09390055522892694
86,17-2171,Petroleum Engineers,0.08506377228567323,0.17485562658693235,0.17136676135125178,0.05887611418694423
87,17-3011,Architectural and Civil Drafters,0.03059740560214003,0.20382151530129916,0.1680953492504661,0.12237405696445977
88,17-3012,Electrical and Electronics Drafters,0.030485695527543172,0.13705922901643564,0.24973757328397841,0.09881885240527256
89,17-3013,Mechanical Drafters,0.02772737777062592,0.23451439750870623,0.1550832021643233,0.10303933269772417
90,17-3021,Aerospace Engineering and Operations Technologists and Technicians,0.07899582370706804,0.11895065141890793,0.15265143393495575,0.14448537691928548
91,17-3022,Civil Engineering Technologists and Technicians,0.019362552263518025,0.25371589791898563,0.12451653076972238,0.10711198950342754
92,17-3023,Electrical and Electronic Engineering Technologists and Technicians,0.05046748021636656,0.1093629258212867,0.14303197307842544,0.21911143217816215
93,17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians,0.0271356990581905,0.18968743143025638,0.04207972507171817,0.25259989640524283
94,17-3025,Environmental Engineering Technologists and Technicians,0.013500524193821742,0.20293963958074818,0.06521162900199183,0.21431887208682193
95,17-3026,Industrial Engineering Technologists and Technicians,0.11089928967983205,0.14393814907688604,0.1229485897164895,0.12527353110697487
96,17-3027,Mechanical Engineering Technologists and Technicians,0.037613575466477873,0.13868892832646265,0.11018049448186612,0.2102759796491234
97,17-3031,Surveying and Mapping Technicians,0.028782985948322622,0.24786663957342112,0.07494393218167433,0.18093171886148107
98,19-1011,Animal Scientists,0.06939937049022882,0.1597583520161808,0.19263296873393265,0.057940324868591915
99,19-1012,Food Scientists and Technologists,0.04325701301409178,0.1948185365449742,0.16555411545033633,0.09571996473883501
100,19-1013,Soil and Plant Scientists,0.07278722730434434,0.145091878061663,0.15575370514719836,0.10318109363380773
101,19-1021,Biochemists and Biophysicists,0.04342825750413727,0.20992993351584333,0.14990627836618378,0.0931333639885355
102,19-1022,Microbiologists,0.0832098305928832,0.2025044313279729,0.133773950601202,0.07371580763765234
103,19-1023,Zoologists and Wildlife Biologists,0.0881255646773361,0.1157728386286346,0.17973563294626266,0.09046963672728595
104,19-1031,Conservation Scientists,0.10522063792164113,0.13145728554003588,0.11642157594517485,0.11743090619737565
105,19-1032,Foresters,0.10524315530579272,0.12236749179167408,0.13388101688173118,0.11520657634741155
106,19-1041,Epidemiologists,0.0829918549563134,0.1838096891033985,0.2005113597595763,0.02108472856956667
107,19-1042,"Medical Scientists, Except Epidemiologists",0.11696113776388575,0.13701194329758348,0.192427485288231,0.033114333543360054
108,19-2011,Astronomers,0.017882770604984895,0.20294430399862617,0.23317878065904618,0.039642734295912044
109,19-2012,Physicists,0.037165645525506524,0.2088643828697951,0.21885686299963147,0.02839414946071781
110,19-2021,Atmospheric and Space Scientists,0.06828726310630327,0.17532441824988182,0.20691104439800342,0.06050020297678741
111,19-2031,Chemists,0.07881307500649352,0.13901271797351147,0.15060252485543696,0.1295147777834064
112,19-2032,Materials Scientists,0.08535420491415925,0.12596341483366513,0.17831347590944563,0.10167772549854488
113,19-2041,"Environmental Scientists and Specialists, Including Health",0.054908976359182515,0.18683441273959858,0.13903530202620257,0.1210773484237695
114,19-2042,"Geoscientists, Except Hydrologists and Geographers",0.06390578234712688,0.19763251362328493,0.17865328148860654,0.05478264997563985
115,19-2043,Hydrologists,0.08169540609207082,0.15480306871624067,0.19257593100344897,0.05212007889667081
116,19-3011,Economists,0.06404431632128031,0.1554096587052447,0.25861812493138053,0.015212712073385693
117,19-3022,Survey Researchers,0.11749631870698769,0.15629982620206667,0.19632305375586517,0.019714104125487318
118,19-3031,"Clinical, Counseling, and School Psychologists",0.17595623954416426,0.09612742133815128,0.18651224397140415,0.0031880156352543302
119,19-3032,Industrial-Organizational Psychologists,0.13063163064140784,0.1527252266553879,0.1819281592246593,0.012026739633291521
120,19-3041,Sociologists,0.07562080364089643,0.11929423112186976,0.2617749806399835,0.012179964680373735
121,19-3051,Urban and Regional Planners,0.13801725319910144,0.13580855818211796,0.18427635687027744,0.0241426657757499
122,19-3091,Anthropologists and Archeologists,0.08212429735359905,0.16379058370150595,0.19931243003181714,0.027665946746800816
123,19-3092,Geographers,0.04580817204592673,0.19747688879386394,0.2188401519021047,0.0305585314421946
124,19-3093,Historians,0.15442122741486067,0.13833844401484147,0.1373900982962642,0.06961652797293497
125,19-3094,Political Scientists,0.0687006952439975,0.12210214595801558,0.267843431195288,0.006596893604410268
126,19-4010,Agricultural and Food Science Technicians,0.04618855487452604,0.1941452208796845,0.07202198147218256,0.214073008668517
127,19-4021,Biological Technicians,0.05576108457684542,0.2421423136625121,0.061930679347007835,0.157095440951533
128,19-4031,Chemical Technicians,0.004064751826311276,0.25455360114770037,0.09947651660353589,0.17532234258763846
129,19-4042,"Environmental Science and Protection Technicians, Including Health",0.0209382313386643,0.16280355678252467,0.07605932798293528,0.2382421272844849
130,19-4045,Geological and Petroleum Technicians,0.050342247830970695,0.1726200435364883,0.1187095511433513,0.1647169589059695
131,19-4051,Nuclear Technicians,0.08459551142359044,0.16927974274442745,0.042055872666648536,0.2052104745749949
132,19-4061,Social Science Research Assistants,0.04255820567283171,0.1790166063668754,0.262962395392411,0.017604138064825074
133,19-4071,Forest and Conservation Technicians,0.04056482121192728,0.12630188708850645,0.044958361392136506,0.25425089435933346
134,19-4092,Forensic Science Technicians,0.038640488768783336,0.20184277594421357,0.10841457266553615,0.1442278736252098
135,19-5011,Occupational Health and Safety Specialists,0.11290029153805053,0.12235258886410201,0.13585859064836905,0.10657551551988642
136,19-5012,Occupational Health and Safety Technicians,0.09968086878875922,0.08060511484208546,0.13118677123236963,0.15997868641807636
137,21-1012,"Educational, Guidance, and Career Counselors and Advisors",0.22339863155571157,0.05039233171903434,0.18550988449540795,0.0
138,21-1013,Marriage and Family Therapists,0.15995435680556963,0.1210033610098685,0.1668145024783677,0.01766524780715373
139,21-1015,Rehabilitation Counselors,0.222172486114922,0.07097722632584486,0.13704237770138814,0.03383635050466299
140,21-1018,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",0.22258083715074733,0.06907445953777475,0.16350402159774974,0.0044443650132300625
141,21-1021,"Child, Family, and School Social Workers",0.2439450461989831,0.05419419505198873,0.15455409268889225,0.012568020055771793
142,21-1022,Healthcare Social Workers,0.21511196991259066,0.11065937786485658,0.1404379228574263,0.0054939179917668415
143,21-1023,Mental Health and Substance Abuse Social Workers,0.23883864424153356,0.06635103190670136,0.15294050036774848,0.007447146476175982
144,21-1091,Health Education Specialists,0.1806056573258933,0.073120861624639,0.17932263156970366,0.0316856308266423
145,21-1092,Probation Officers and Correctional Treatment Specialists,0.2078827232111316,0.0815707569380121,0.13963358209392635,0.040688388360584964
146,21-1093,Social and Human Service Assistants,0.22052342705596534,0.09419929595483076,0.09100478878396556,0.06556745793613244
147,21-2011,Clergy,0.19812519493460792,0.07693417141041707,0.1576444341358394,0.027026399795353286
148,21-2021,"Directors, Religious Activities and Education",0.26025448089094916,0.03990325305561636,0.1385557406397469,0.007695169481876002
149,23-1011,Lawyers,0.14398942787386113,0.11697642106432819,0.20073252051948437,0.011981016227662893
150,23-1012,Judicial Law Clerks,0.1210632140528819,0.14199669007944365,0.2345499763660781,0.0
151,23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",0.12526897347060997,0.17476005005360887,0.1890063240062757,0.006014168114574766
152,23-1022,"Arbitrators, Mediators, and Conciliators",0.16279005136445868,0.07863175215313048,0.21914896493715202,0.0024178591923948558
153,23-1023,"Judges, Magistrate Judges, and Magistrates",0.1711577070192651,0.11672082169562192,0.1807886345294746,0.008426625696881367
154,23-2011,Paralegals and Legal Assistants,0.06965282441725516,0.23038141831765005,0.21362649300849348,0.0016514997562863086
155,23-2093,"Title Examiners, Abstractors, and Searchers",0.11698420608005848,0.15630108303064918,0.237717546143689,0.007842342103983902
156,25-1011,"Business Teachers, Postsecondary",0.10358273383868646,0.09082840726618083,0.26042065289600264,0.002635129043862802
157,25-1021,"Computer Science Teachers, Postsecondary",0.0834818719712092,0.09307076403203311,0.2716400932426637,0.023167914280079527
158,25-1022,"Mathematical Science Teachers, Postsecondary",0.09338888132193482,0.1501534203021689,0.22388863202345982,0.0
159,25-1031,"Architecture Teachers, Postsecondary",0.11384169458744023,0.06676217543173155,0.254610740396932,0.016538424603972056
160,25-1032,"Engineering Teachers, Postsecondary",0.09023985447115478,0.11696856639551999,0.2402961647175289,0.023311831045677755
161,25-1041,"Agricultural Sciences Teachers, Postsecondary",0.13362032133691817,0.08107338159531222,0.21312709803849628,0.030137147581593762
162,25-1042,"Biological Science Teachers, Postsecondary",0.09417066260364873,0.09596301842740056,0.24674364290996287,0.016936653647750547
163,25-1043,"Forestry and Conservation Science Teachers, Postsecondary",0.11159247624782742,0.08422010239569232,0.23743537788000807,0.027236543032077704
164,25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",0.09283387102405581,0.1190996796468594,0.2375554657238818,0.022610513044363754
165,25-1052,"Chemistry Teachers, Postsecondary",0.08097357396272457,0.11159454928314427,0.20956009566665698,0.06254632873347186
166,25-1053,"Environmental Science Teachers, Postsecondary",0.09902394542597145,0.10900681065099085,0.23770335287983763,0.016487389801036166
167,25-1054,"Physics Teachers, Postsecondary",0.084864376713488,0.09618127412266696,0.2688626271880951,0.01722003878106999
168,25-1061,"Anthropology and Archeology Teachers, Postsecondary",0.08745109279672406,0.11690706925557107,0.25339607153397764,0.0
169,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",0.11995267270641102,0.09108935072266615,0.24517981441414438,0.0015463176791170347
170,25-1063,"Economics Teachers, Postsecondary",0.07443805852718423,0.15359402317089188,0.23432718620651388,0.004823228605925791
171,25-1064,"Geography Teachers, Postsecondary",0.10351936900642214,0.07783120028159923,0.26726403707667684,0.005404521606616796
172,25-1065,"Political Science Teachers, Postsecondary",0.10936482857682572,0.08074973030766817,0.26201832487563237,0.0003537871381219363
173,25-1066,"Psychology Teachers, Postsecondary",0.10347513884101842,0.09653377586061074,0.2502971354826762,0.0
174,25-1067,"Sociology Teachers, Postsecondary",0.12738734875534696,0.07140059886932756,0.25010095300194485,0.0021598848668619073
175,25-1071,"Health Specialties Teachers, Postsecondary",0.1269506943255694,0.10643140996913229,0.21526024082760487,0.011896559289896474
176,25-1072,"Nursing Instructors and Teachers, Postsecondary",0.1677725156424258,0.09779381430031715,0.18036698412664137,0.016239587762382372
177,25-1081,"Education Teachers, Postsecondary",0.1530690801333055,0.06860142118700378,0.22521330159522618,0.007128274508873692
178,25-1082,"Library Science Teachers, Postsecondary",0.0901545268124521,0.09433969356339422,0.27182742144548333,0.0038862069168200033
179,25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",0.10345248299385053,0.09600545161533618,0.24812737302623666,0.005517425348165763
180,25-1112,"Law Teachers, Postsecondary",0.12259428634580367,0.08201138621655917,0.25087333186641225,0.0
181,25-1113,"Social Work Teachers, Postsecondary",0.15021025206753189,0.06279997726974289,0.23985712289168823,0.0019932448069395533
182,25-1121,"Art, Drama, and Music Teachers, Postsecondary",0.15502897156297274,0.03672483359168859,0.2501209687254078,0.0
183,25-1122,"Communications Teachers, Postsecondary",0.15948108379774947,0.0567687332585335,0.23148459108361813,0.003617803154347418
184,25-1123,"English Language and Literature Teachers, Postsecondary",0.14454338091733704,0.058541654167042705,0.24611252472510933,0.0
185,25-1124,"Foreign Language and Literature Teachers, Postsecondary",0.1453199218037584,0.04384400947932629,0.2606598914399183,0.0008875101973101474
186,25-1125,"History Teachers, Postsecondary",0.11176458830118394,0.06976183182783895,0.2689959356484133,0.0
187,25-1126,"Philosophy and Religion Teachers, Postsecondary",0.1333031006157856,0.05800101334003761,0.2548515313697166,0.0
188,25-1192,"Family and Consumer Sciences Teachers, Postsecondary",0.15348232266687484,0.07351282345560506,0.22289305054280897,0.0018755466477902044
189,25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",0.17473074384089787,0.0376149608810502,0.21470229465949225,0.017901456301949253
190,25-1194,"Career/Technical Education Teachers, Postsecondary",0.18701251535513352,0.044435344275218655,0.18473490643408236,0.03299576563091131
191,25-2011,"Preschool Teachers, Except Special Education",0.19437210201202393,0.12699590292203006,0.1085387671870997,0.01084305967884587
192,25-2012,"Kindergarten Teachers, Except Special Education",0.1647689085502594,0.12370922570747828,0.15200261148296748,0.01592512132853938
193,25-2021,"Elementary School Teachers, Except Special Education",0.1641459830390159,0.12872771475343225,0.15572432284476304,0.009195756463547143
194,25-2022,"Middle School Teachers, Except Special and Career/Technical Education",0.1850790693238104,0.10760732414032327,0.15285919491009897,0.012997313284537532
195,25-2023,"Career/Technical Education Teachers, Middle School",0.17226017594158005,0.08407355373336119,0.14719008495349448,0.05273324472034554
196,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",0.1650726807972034,0.09988165581247112,0.17955138894549433,0.009796920759906505
197,25-2032,"Career/Technical Education Teachers, Secondary School",0.1717032519650311,0.09817515114410305,0.13774014271806573,0.05425520826893276
198,25-2057,"Special Education Teachers, Middle School",0.19141197117483932,0.11876466742724893,0.14128605397507124,0.01118471613963815
199,25-2058,"Special Education Teachers, Secondary School",0.20826471870752108,0.07679974355095368,0.16399357022371264,0.008016093688430016
200,25-3011,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",0.18903435459449175,0.06673051329030194,0.17858315922622076,0.008397751785829658
201,25-3021,Self-Enrichment Teachers,0.19853451654740242,0.0639722465928238,0.15219885887641665,0.006721888460682112
202,25-4011,Archivists,0.04675903582751353,0.18627903203945173,0.248574203880704,0.022474262367541877
203,25-4012,Curators,0.10801771019740969,0.16443203321600738,0.1365939263164671,0.05652828952239712
204,25-4013,Museum Technicians and Conservators,0.04705709074978505,0.10768928542251756,0.12848137671480692,0.1805162096037465
205,25-4022,Librarians and Media Collections Specialists,0.10744656527314576,0.09281249757548887,0.2181929333409962,0.05031575705840478
206,25-4031,Library Technicians,0.0906023331788081,0.21120346965109807,0.19934413412639346,0.012229823444896702
207,25-9021,Farm and Home Management Educators,0.14526832245299598,0.0839536176287754,0.1763844996740308,0.05354253809981791
208,25-9031,Instructional Coordinators,0.17941607451425884,0.09617945235936745,0.1754101547548539,0.016234996257524236
209,25-9044,"Teaching Assistants, Postsecondary",0.08385532297607982,0.03801265546722822,0.320211890087815,0.0
210,25-9045,Teacher Assistants,0.3142726393647918,0.039594537432539184,0.08854500640709566,0.0
211,27-1011,Art Directors,0.15749874243766682,0.08346070799939695,0.19245138549335636,0.03676286617318679
212,27-1012,Craft Artists,0.07379740683188005,0.12604597723163324,0.09260673542206578,0.18182223433174743
213,27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",0.06280417321556125,0.08336392647485123,0.12596844639917765,0.18193948746329935
214,27-1014,Special Effects Artists and Animators,0.04131246758024592,0.15933287244428745,0.25111576046397577,0.04237084258186105
215,27-1021,Commercial and Industrial Designers,0.03599264076211899,0.18453061671975646,0.17912000579547238,0.10395490826885552
216,27-1023,Floral Designers,0.15018815144050895,0.1346156236264416,0.10853994098022385,0.06980057620858306
217,27-1024,Graphic Designers,0.0470397097550974,0.12405019865037739,0.2556254554605684,0.05388065896950378
218,27-1025,Interior Designers,0.13200883072826913,0.0649678423780286,0.1613291000316641,0.10633862401612547
219,27-1026,Merchandise Displayers and Window Trimmers,0.08495639028248304,0.22170257332485482,0.04063746485125645,0.11482522555758662
220,27-1027,Set and Exhibit Designers,0.11267654998554907,0.11841378283564055,0.1053463232011457,0.13397764183806132
221,27-2011,Actors,0.13722998897504576,0.04923174252288469,0.2323699735670398,0.01835727317048249
222,27-2012,Producers and Directors,0.17107082813426774,0.0975311484388227,0.1668915930867961,0.03934192698993643
223,27-2021,Athletes and Sports Competitors,0.10398784238726697,0.2125436614146034,0.06055250856698616,0.07608843177839816
224,27-2022,Coaches and Scouts,0.2003161542510967,0.102126816969836,0.11851571725304988,0.030625100067346624
225,27-2023,"Umpires, Referees, and Other Sports Officials",0.09060557974922959,0.2178959724239459,0.05001885595149154,0.1170186142141442
226,27-2031,Dancers,0.06394502994759589,0.2939083072537322,0.051125867272181214,0.03087338996180024
227,27-2032,Choreographers,0.15640807341894125,0.1698865827447248,0.10219253115853683,0.01695595080758368
228,27-2041,Music Directors and Composers,0.13529309271882628,0.09068233095188825,0.18745620893520837,0.04003488619504149
229,27-2042,Musicians and Singers,0.11254108013131876,0.16311303156875934,0.16177107776040278,0.030997576696151215
230,27-3011,Broadcast Announcers and Radio Disc Jockeys,0.12025079610299126,0.09062943018529855,0.2358863512667897,0.022970424379432065
231,27-3012,Public Address System and Other Announcers,0.11914528363617649,0.08573430661559765,0.08944395157960205,0.17159637622963708
232,27-3023,"News Analysts, Reporters, and Journalists",0.11962893487335949,0.1388241381406648,0.20528517332129279,0.017342209239715068
233,27-3031,Public Relations Specialists,0.1720203588124545,0.06767329460208006,0.2349036595738792,0.0
234,27-3041,Editors,0.09009069993908707,0.1668024290621408,0.22349400322074037,0.015493070169878838
235,27-3042,Technical Writers,0.07370606237816225,0.13922874999941803,0.2655131676129066,0.03265454946393291
236,27-3043,Writers and Authors,0.07055421246782205,0.08274726970165923,0.3067600940191971,0.009950398541341736
237,27-3091,Interpreters and Translators,0.11719868245143632,0.22707660615381808,0.13053242570720747,0.025865210204689626
238,27-3092,Court Reporters and Simultaneous Captioners,0.04987681840151803,0.2020366599470348,0.173362975806759,0.11273553479158382
239,27-4011,Audio and Video Technicians,0.04508462350748327,0.16594521951032074,0.08310301616836499,0.20205977353349375
240,27-4012,Broadcast Technicians,0.01743049829246054,0.1879264961343688,0.08662097669992326,0.23401155550476652
241,27-4014,Sound Engineering Technicians,0.05751182437242312,0.17624934035392048,0.08470062182702179,0.17843827257221204
242,27-4021,Photographers,0.1309310508058254,0.08098415258900643,0.09066096765508487,0.1779237930567449
243,27-4031,"Camera Operators, Television, Video, and Film",0.03924023365283219,0.15388037655383824,0.05035137878483323,0.24294895046630474
244,27-4032,Film and Video Editors,0.06651858573782325,0.15695745613604223,0.14126759665521924,0.13824519364169113
245,29-1011,Chiropractors,0.14544086561831573,0.19154739293996964,0.11407528124981418,0.02858200607006489
246,29-1021,"Dentists, General",0.15332681730480768,0.13263514304045085,0.08507929220210039,0.10861303362374086
